2,2,0.6,16.455000000000002,668,211,0,0.76,1.0,0.86
2,2,0.7,16.455000000000002,665,126,3,0.84,1.0,0.91
2,2,0.8,16.455000000000002,654,65,14,0.91,0.98,0.94
2,2,0.9,16.455000000000002,642,34,26,0.95,0.96,0.95
2,2,1.0,16.455000000000002,616,20,52,0.97,0.92,0.94
2,2,1.1,16.455000000000002,592,10,76,0.98,0.89,0.93
2,2,1.2,16.455000000000002,560,5,108,0.99,0.84,0.91
2,2,1.3,16.455000000000002,529,5,139,0.99,0.79,0.88
2,2,1.4,16.455000000000002,491,3,177,0.99,0.74,0.85
2,2,1.5,16.455000000000002,450,2,218,1.0,0.67,0.8
2,2,1.6,16.455000000000002,395,2,273,0.99,0.59,0.74
2,2,1.7,16.455000000000002,345,2,323,0.99,0.52,0.68
2,2,1.8,16.455000000000002,313,1,355,1.0,0.47,0.64
2,2,1.9,16.455000000000002,290,1,378,1.0,0.43,0.6
2,2,2.0,16.455000000000002,250,1,418,1.0,0.37,0.54
2,2,0.6,32.910000000000004,668,210,0,0.76,1.0,0.86
2,2,0.7,32.910000000000004,668,125,0,0.84,1.0,0.91
2,2,0.8,32.910000000000004,668,65,0,0.91,1.0,0.95
2,2,0.9,32.910000000000004,668,34,0,0.95,1.0,0.97
2,2,1.0,32.910000000000004,667,20,1,0.97,1.0,0.98
2,2,1.1,32.910000000000004,663,10,5,0.99,0.99,0.99
2,2,1.2,32.910000000000004,653,5,15,0.99,0.98,0.98
2,2,1.3,32.910000000000004,645,5,23,0.99,0.97,0.98
2,2,1.4,32.910000000000004,633,3,35,1.0,0.95,0.97
2,2,1.5,32.910000000000004,617,2,51,1.0,0.92,0.96
2,2,1.6,32.910000000000004,595,2,73,1.0,0.89,0.94
2,2,1.7,32.910000000000004,572,2,96,1.0,0.86,0.92
2,2,1.8,32.910000000000004,552,1,116,1.0,0.83,0.91
2,2,1.9,32.910000000000004,527,1,141,1.0,0.79,0.88
2,2,2.0,32.910000000000004,503,1,165,1.0,0.75,0.86
2,2,0.6,10.97,661,214,7,0.76,0.99,0.86
2,2,0.7,10.97,650,126,18,0.84,0.97,0.9
2,2,0.8,10.97,623,66,45,0.9,0.93,0.91
2,2,0.9,10.97,597,34,71,0.95,0.89,0.92
2,2,1.0,10.97,558,20,110,0.97,0.84,0.9
2,2,1.1,10.97,527,10,141,0.98,0.79,0.87
2,2,1.2,10.97,466,5,202,0.99,0.7,0.82
2,2,1.3,10.97,405,5,263,0.99,0.61,0.75
2,2,1.4,10.97,354,3,314,0.99,0.53,0.69
2,2,1.5,10.97,308,2,360,0.99,0.46,0.63
2,2,1.6,10.97,267,2,401,0.99,0.4,0.57
2,2,1.7,10.97,243,2,425,0.99,0.36,0.53
2,2,1.8,10.97,206,1,462,1.0,0.31,0.47
2,2,1.9,10.97,182,1,486,0.99,0.27,0.42
2,2,2.0,10.97,161,1,507,0.99,0.24,0.39
2,2,0.6,5.485,635,218,33,0.74,0.95,0.83
2,2,0.7,5.485,597,122,71,0.83,0.89,0.86
2,2,0.8,5.485,560,63,108,0.9,0.84,0.87
2,2,0.9,5.485,500,36,168,0.93,0.75,0.83
2,2,1.0,5.485,421,19,247,0.96,0.63,0.76
2,2,1.1,5.485,350,11,318,0.97,0.52,0.68
2,2,1.2,5.485,298,5,370,0.98,0.45,0.62
2,2,1.3,5.485,250,5,418,0.98,0.37,0.54
2,2,1.4,5.485,215,3,453,0.99,0.32,0.48
2,2,1.5,5.485,184,2,484,0.99,0.28,0.44
2,2,1.6,5.485,154,2,514,0.99,0.23,0.37
2,2,1.7,5.485,131,2,537,0.98,0.2,0.33
2,2,1.8,5.485,117,1,551,0.99,0.18,0.3
2,2,1.9,5.485,103,1,565,0.99,0.15,0.26
2,2,2.0,5.485,92,1,576,0.99,0.14,0.25
2,2,0.6,43.88,668,210,0,0.76,1.0,0.86
2,2,0.7,43.88,668,125,0,0.84,1.0,0.91
2,2,0.8,43.88,668,65,0,0.91,1.0,0.95
2,2,0.9,43.88,668,34,0,0.95,1.0,0.97
2,2,1.0,43.88,668,19,0,0.97,1.0,0.98
2,2,1.1,43.88,668,10,0,0.99,1.0,0.99
2,2,1.2,43.88,667,5,1,0.99,1.0,0.99
2,2,1.3,43.88,664,5,4,0.99,0.99,0.99
2,2,1.4,43.88,659,3,9,1.0,0.99,0.99
2,2,1.5,43.88,649,2,19,1.0,0.97,0.98
2,2,1.6,43.88,643,2,25,1.0,0.96,0.98
2,2,1.7,43.88,632,2,36,1.0,0.95,0.97
2,2,1.8,43.88,615,1,53,1.0,0.92,0.96
2,2,1.9,43.88,600,1,68,1.0,0.9,0.95
2,2,2.0,43.88,583,1,85,1.0,0.87,0.93
2,2,0.6,54.85,668,210,0,0.76,1.0,0.86
2,2,0.7,54.85,668,125,0,0.84,1.0,0.91
2,2,0.8,54.85,668,65,0,0.91,1.0,0.95
2,2,0.9,54.85,668,34,0,0.95,1.0,0.97
2,2,1.0,54.85,668,19,0,0.97,1.0,0.98
2,2,1.1,54.85,668,10,0,0.99,1.0,0.99
2,2,1.2,54.85,668,5,0,0.99,1.0,0.99
2,2,1.3,54.85,668,5,0,0.99,1.0,0.99
2,2,1.4,54.85,667,3,1,1.0,1.0,1.0
2,2,1.5,54.85,664,2,4,1.0,0.99,0.99
2,2,1.6,54.85,658,2,10,1.0,0.99,0.99
2,2,1.7,54.85,651,2,17,1.0,0.97,0.98
2,2,1.8,54.85,645,1,23,1.0,0.97,0.98
2,2,1.9,54.85,638,1,30,1.0,0.96,0.98
2,2,2.0,54.85,633,1,35,1.0,0.95,0.97
